user,employee_name,department,job_title,date,login_count,night_logins,unique_pcs,usb_count,file_activity_count,file_deleted,file_copied,file_accessed,emails_sent,external_emails,email_attachments,http_requests,unique_urls,cctv_anomalies,access_card_anomalies,behavioral_score,anomaly_label,risk_score
USR00067,Emily Johnson,Legal,Lead,2026-01-16,134,1,5,146,483,54,71,358,164,3,38,1952,356,8,0,43.13,1,56.33
USR00068,Jennifer Garcia,Engineering,Manager,2026-01-15,76,4,7,17,310,40,62,208,12,0,1,820,234,14,5,27.71,1,72.59
USR00069,Maria Martinez,Finance,Senior Developer,2026-01-14,79,1,1,20,577,56,84,437,113,31,28,898,159,6,8,28.58,1,67.87
USR00070,Maria Davis,Security,Specialist,2026-01-13,51,1,7,14,35,1,4,30,59,4,8,642,187,3,0,57.38,-1,39.76
USR00071,Robert Brown,Security,Lead,2026-01-12,211,11,2,101,106,13,0,93,122,4,20,1229,239,12,6,40.89,1,80.49
USR00072,Michael Martinez,IT,Director,2026-01-11,62,3,2,62,912,102,134,676,25,6,4,1577,193,7,5,66.11,1,61.42
USR00073,Robert Rodriguez,Marketing,Director,2026-01-10,129,10,3,60,230,9,16,205,55,5,4,1606,408,2,2,98.33,1,37.55
USR00074,Maria Martinez,IT,Associate,2026-01-09,204,10,6,38,920,17,120,783,118,40,19,1680,160,1,5,53.91,1,62.4
USR00075,John Garcia,HR,Analyst,2026-01-08,205,2,7,118,1155,10,115,1030,151,41,12,708,329,15,8,18.48,-1,100
USR00076,Jennifer Johnson,Security,Manager,2026-01-07,50,1,8,112,1093,133,156,804,45,11,5,1929,164,12,6,86.85,-1,90.67
USR00077,Jennifer Johnson,Legal,Analyst,2026-01-06,182,10,7,72,536,77,19,440,90,5,18,1409,92,11,4,100,1,61.92
USR00078,Maria Johnson,HR,Lead,2026-01-05,136,10,6,32,1098,23,165,910,176,54,32,791,29,11,4,26.02,1,91.55
USR00079,Lisa Brown,Marketing,Manager,2026-01-04,79,0,5,25,1059,138,189,732,139,2,21,1844,412,4,6,22.9,1,64.68
USR00080,Maria Williams,IT,Senior Developer,2026-01-03,145,5,4,113,603,57,29,517,141,15,19,1706,421,15,3,65.74,1,77.1
USR00081,Lisa Jones,Sales,Lead,2026-01-02,175,6,3,51,303,16,3,284,169,61,23,1185,498,3,8,78.81,1,68.42
USR00082,David Davis,Security,Manager,2026-01-01,151,1,4,115,735,3,106,626,18,6,4,815,140,12,1,34.11,1,64.0
USR00083,Jennifer Williams,Operations,Senior Developer,2025-12-31,113,7,3,120,938,1,20,917,9,2,0,1760,96,13,1,71.53,-1,74.16
USR00084,Emily Miller,Executive,Officer,2025-12-30,56,0,8,137,53,3,2,48,79,27,0,1309,200,7,6,42.44,1,62.71
USR00085,Jennifer Johnson,Security,Lead,2025-12-29,169,12,1,99,982,11,162,809,104,23,16,1580,28,11,1,56.51,1,78.4
USR00086,Maria Garcia,Operations,Senior Developer,2025-12-28,130,8,6,44,971,122,161,688,51,4,2,1516,417,14,0,28.54,-1,99.2
USR00087,John Garcia,HR,Lead,2025-12-27,141,8,8,64,94,12,6,76,78,22,1,1823,355,10,4,27.22,1,72.71
USR00088,Lisa Miller,Legal,Manager,2025-12-26,167,11,8,94,1083,68,205,810,26,6,1,931,328,5,8,30.62,1,92.02
USR00089,David Jones,IT,Associate,2025-12-25,223,13,3,113,739,57,10,672,191,45,39,940,160,1,1,69.56,1,62.67
USR00090,Michael Smith,Operations,Associate,2026-01-23,213,14,1,32,157,7,23,127,97,24,18,116,97,4,7,89.18,1,74.19
USR00091,Maria Williams,Security,Director,2026-01-22,141,5,5,63,252,1,47,204,52,15,12,1920,307,3,4,87.76,-1,55.84
USR00092,Maria Jones,IT,Coordinator,2026-01-21,71,1,2,115,373,45,56,272,27,10,5,1417,197,2,8,76.86,1,50.14
USR00093,Michael Garcia,Security,Coordinator,2026-01-20,71,1,3,60,1031,6,92,933,146,36,23,1007,431,4,1,23.87,1,58.06
USR00094,Lisa Rodriguez,Sales,Consultant,2026-01-19,250,18,2,32,669,82,18,569,120,29,33,755,85,5,2,69.32,-1,83.52
USR00095,Sarah Rodriguez,Operations,Specialist,2026-01-18,82,1,6,57,728,66,72,590,25,4,3,1350,302,8,2,73.38,-1,62.47
USR00096,Michael Martinez,Executive,Manager,2026-01-17,83,5,6,144,104,0,2,102,16,5,4,592,353,6,6,52.42,1,68.96
USR00097,Robert Jones,HR,Officer,2026-01-16,102,6,5,116,169,22,3,144,45,14,6,1041,257,6,5,61.44,1,61.28
USR00098,Jennifer Miller,Operations,Director,2026-01-15,171,8,2,81,515,59,15,441,73,14,7,338,69,1,4,100,1,43.71
USR00099,Michael Garcia,Executive,Director,2026-01-14,88,2,8,131,976,127,78,771,132,1,5,1985,221,14,3,33.49,-1,95.13
USR00100,Lisa Martinez,IT,Specialist,2026-01-13,177,0,2,110,294,16,46,232,98,25,11,142,71,1,8,38.96,-1,77.67
USR00101,Robert Davis,Security,Specialist,2026-01-12,199,3,3,24,826,47,86,693,147,23,9,457,328,12,8,9.38,1,94.96
USR00102,Lisa Rodriguez,IT,Manager,2026-01-11,195,4,6,81,352,25,38,289,156,21,32,1746,280,15,4,41.2,1,77.52
USR00103,Sarah Miller,Executive,Specialist,2026-01-10,243,0,8,67,486,6,74,406,127,10,33,1338,389,12,2,75.1,1,53.38
USR00104,Sarah Brown,Engineering,Officer,2026-01-09,120,6,3,105,437,52,64,321,161,60,47,1539,51,4,8,31.93,1,83.52
USR00105,Robert Miller,Legal,Manager,2026-01-08,157,8,6,139,745,86,67,592,161,61,12,554,162,9,3,100,1,84.52
USR00106,Emily Davis,Legal,Officer,2026-01-07,129,8,5,73,269,36,43,190,144,24,25,1726,196,4,4,41.59,-1,76.73
USR00107,Lisa Jones,IT,Coordinator,2026-01-06,91,4,5,35,243,15,15,213,17,5,4,512,346,7,0,24.08,1,55.72
USR00108,Michael Smith,Security,Manager,2026-01-05,144,10,8,122,428,36,41,351,78,3,2,1385,313,7,8,90.16,-1,84.75
USR00109,Michael Miller,Operations,Senior Developer,2026-01-04,141,7,3,74,96,0,9,87,150,38,6,1951,191,9,7,98.2,1,64.16
USR00110,Michael Rodriguez,IT,Specialist,2026-01-03,89,1,6,41,959,65,183,711,52,0,10,1669,171,6,2,73.18,1,44.87
USR00111,James Rodriguez,Legal,Analyst,2026-01-02,142,10,2,47,307,30,20,257,68,0,8,835,140,14,4,87.12,1,65.08
USR00112,John Jones,Legal,Coordinator,2026-01-01,55,0,8,78,347,25,64,258,185,39,44,290,171,11,3,26.11,-1,94.79
USR00113,Maria Garcia,Sales,Lead,2025-12-31,160,12,4,63,187,16,28,143,140,45,23,209,164,3,0,98.76,-1,77.62
USR00114,Robert Williams,Operations,Director,2025-12-30,173,7,2,52,1021,23,130,868,119,3,29,320,282,13,7,66.85,1,90.38
USR00115,David Smith,Sales,Specialist,2025-12-29,249,0,4,148,169,1,27,141,93,4,17,173,37,15,0,32.83,-1,80.41
USR00116,James Garcia,Sales,Officer,2025-12-28,136,6,2,138,292,41,55,196,94,7,5,1150,221,4,3,94.08,1,50.3
USR00117,Lisa Rodriguez,Sales,Lead,2025-12-27,137,3,4,117,728,19,70,639,53,3,1,1707,358,13,0,25.41,1,67.84
USR00118,Lisa Martinez,Engineering,Coordinator,2025-12-26,229,1,7,112,499,69,27,403,198,7,8,1081,168,7,5,75.35,1,53.63
USR00119,Emily Jones,Operations,Lead,2025-12-25,96,6,5,70,144,17,18,109,193,22,40,1440,238,15,0,100,1,58.26
USR00120,Robert Garcia,Sales,Consultant,2026-01-23,78,2,7,47,1121,121,61,939,62,9,4,1700,257,1,8,50.53,1,54.05
USR00121,James Brown,HR,Coordinator,2026-01-22,124,1,8,94,209,12,3,194,73,12,21,1288,328,1,1,45.77,1,35.52
USR00122,Robert Brown,IT,Coordinator,2026-01-21,125,4,1,54,409,61,15,333,196,61,58,546,376,6,6,92.96,1,74.36
USR00123,James Davis,Security,Director,2026-01-20,118,4,6,131,1038,119,25,894,189,60,48,1769,183,6,5,30.07,1,85.58
USR00124,Michael Smith,HR,Lead,2026-01-19,189,13,5,39,421,42,29,350,102,36,26,553,275,10,4,79.35,1,81.17
USR00125,Lisa Davis,Operations,Director,2026-01-18,83,1,8,47,1130,164,15,951,139,2,4,1985,438,1,0,65.42,-1,48.33
USR00126,Michael Smith,Marketing,Lead,2026-01-17,156,5,1,123,1019,4,1,1014,141,35,26,74,21,8,8,78.91,1,72.55
USR00127,James Williams,Finance,Analyst,2026-01-16,174,2,4,49,1098,64,208,826,95,17,25,862,60,11,6,47.94,1,76.08
USR00128,David Johnson,Engineering,Analyst,2026-01-15,143,6,7,141,994,14,163,817,7,2,0,219,147,13,5,77.47,-1,100
USR00129,Robert Smith,Marketing,Coordinator,2026-01-14,217,15,5,11,172,21,17,134,144,36,42,117,42,10,0,97.66,1,64.64
USR00130,James Johnson,HR,Manager,2026-01-13,184,3,7,138,699,49,35,615,181,10,32,1576,197,1,1,67.14,1,40.15
USR00131,Maria Martinez,Sales,Director,2026-01-12,47,2,8,125,487,45,70,372,101,27,5,1442,319,12,1,73.25,-1,81.95
USR00132,Sarah Johnson,HR,Manager,2026-01-11,137,10,3,99,668,46,27,595,28,0,4,960,204,8,1,21.5,1,67.92
USR00133,Robert Rodriguez,Sales,Analyst,2026-01-10,46,0,6,141,210,20,24,166,8,2,1,844,418,2,8,100,1,47.55
USR00134,Michael Miller,Operations,Manager,2026-01-09,108,4,5,126,318,4,21,293,116,17,26,663,267,2,5,32.51,1,60.81
USR00135,Maria Martinez,Marketing,Officer,2026-01-08,67,1,5,1,830,42,158,630,102,21,14,735,240,4,4,62.2,-1,65.62
USR00136,Jennifer Williams,Sales,Director,2026-01-07,114,7,4,83,790,35,100,655,98,7,29,1204,122,5,8,32.47,1,71.06
USR00137,Emily Davis,HR,Analyst,2026-01-06,249,13,8,35,640,30,64,546,173,19,45,916,424,12,1,59.61,1,78.13
USR00138,Robert Rodriguez,Sales,Lead,2026-01-05,49,2,2,27,528,45,21,462,170,5,36,1371,366,12,5,92.49,-1,67.68
USR00139,David Brown,Security,Lead,2026-01-04,182,9,4,114,786,50,118,618,178,64,9,756,32,15,1,59.38,-1,100
USR00140,Michael Garcia,HR,Director,2026-01-03,156,12,4,133,1009,89,121,799,29,7,7,703,54,9,0,69.79,1,72.91
USR00141,Sarah Williams,Marketing,Lead,2026-01-02,84,4,3,84,1166,109,118,939,64,25,12,1339,114,5,6,60.48,1,68.76
USR00142,Lisa Martinez,Sales,Consultant,2026-01-01,41,1,4,71,148,18,3,127,142,11,23,717,120,14,1,54.87,1,55.8
USR00143,Jennifer Martinez,Sales,Associate,2025-12-31,140,9,2,89,740,108,117,515,163,22,43,1495,429,9,1,66.37,-1,91.59
USR00144,Sarah Williams,Legal,Manager,2025-12-30,170,6,7,35,1197,98,108,991,52,15,5,1186,105,15,4,26.53,1,85.29
USR00145,John Garcia,Engineering,Officer,2025-12-29,74,1,7,143,1055,126,104,825,180,62,26,1504,450,14,7,37.33,1,100
USR00146,Emily Jones,Engineering,Specialist,2025-12-28,97,4,3,117,1178,126,140,912,135,7,36,283,157,11,8,68.15,1,93.12
USR00147,Robert Brown,Sales,Analyst,2025-12-27,228,7,5,8,941,67,89,785,27,7,1,1638,435,7,3,86.38,1,51.8
USR00148,Maria Miller,Operations,Associate,2025-12-26,75,6,4,52,141,18,11,112,141,17,38,1153,106,10,4,36.06,1,63.94
USR00149,Sarah Williams,Sales,Senior Developer,2025-12-25,110,2,3,63,319,45,41,233,68,24,12,1052,92,8,6,35.78,1,64.93
USR00150,Sarah Miller,Security,Specialist,2026-01-23,217,11,8,124,690,74,0,616,192,11,46,988,345,11,1,78.6,1,73.01
USR00151,Emily Davis,HR,Director,2026-01-22,112,5,3,144,1013,87,174,752,200,6,2,253,180,14,0,44.34,1,94.03
USR00152,John Miller,Marketing,Manager,2026-01-21,206,9,3,70,211,23,16,172,26,5,2,156,121,9,3,40.38,-1,91.12
USR00153,Emily Davis,Finance,Manager,2026-01-20,191,7,8,2,36,5,5,26,35,13,6,1471,87,15,1,25.3,1,63.4
USR00154,Sarah Garcia,Legal,Specialist,2026-01-19,75,3,3,36,160,16,0,144,161,21,28,769,389,6,2,95.55,1,42.61
USR00155,Emily Johnson,Finance,Manager,2026-01-18,232,3,7,89,899,80,35,784,68,8,20,222,83,9,0,91.64,1,51.05
USR00156,Robert Martinez,Security,Coordinator,2026-01-17,231,12,5,13,510,63,49,398,33,3,7,1356,324,2,8,72.08,1,58.23
USR00157,Jennifer Williams,Sales,Associate,2026-01-16,147,5,3,120,169,0,4,165,8,2,0,131,27,12,8,51.43,1,74.18
USR00158,James Miller,Finance,Lead,2026-01-15,177,9,3,71,191,9,5,177,135,13,9,1148,187,12,1,43.57,1,66.02
USR00159,Emily Smith,Marketing,Analyst,2026-01-14,151,1,8,14,653,85,44,524,35,0,2,1486,25,5,7,94.78,1,37.3
USR00160,David Williams,Legal,Manager,2026-01-13,231,8,2,7,706,103,109,494,74,16,2,588,384,2,7,51.74,1,72.48
USR00161,Maria Williams,Legal,Manager,2026-01-12,105,1,2,58,1062,0,11,1051,8,1,0,1016,206,12,2,52.03,-1,64.91
USR00162,James Brown,Legal,Coordinator,2026-01-11,146,11,6,69,179,18,23,138,35,8,10,1897,46,5,3,99.67,1,45.08
USR00163,Sarah Davis,HR,Specialist,2026-01-10,123,1,8,2,775,25,74,676,149,50,19,1564,338,7,7,66.64,1,62.01
USR00164,Emily Rodriguez,Marketing,Manager,2026-01-09,41,3,1,59,1129,88,162,879,182,1,21,52,44,9,1,54.8,1,72.98
USR00165,John Williams,HR,Analyst,2026-01-08,51,1,7,95,958,21,148,789,29,8,2,1355,439,12,1,51.57,1,66.02
USR00166,Michael Brown,HR,Specialist,2026-01-07,120,6,6,81,947,69,59,819,24,3,2,1647,414,3,2,28.66,1,56.01
USR00167,Sarah Rodriguez,Legal,Coordinator,2026-01-06,155,4,8,67,265,5,10,250,180,38,52,1493,376,1,3,79.17,-1,57.28
USR00168,Emily Garcia,Sales,Lead,2026-01-05,52,2,5,44,83,6,14,63,147,47,35,561,68,14,1,70.19,-1,76.18
USR00169,Emily Williams,Marketing,Consultant,2026-01-04,135,10,2,149,550,9,2,539,21,3,5,958,434,4,1,100,1,50.66
USR00170,John Davis,Engineering,Manager,2026-01-03,186,6,7,127,80,6,13,61,49,11,3,1910,115,8,4,43.65,1,62.7
USR00171,Maria Brown,HR,Officer,2026-01-02,145,8,8,15,199,8,24,167,40,13,3,1366,472,7,8,99.24,1,56.5
USR00172,Jennifer Davis,Security,Officer,2026-01-01,128,9,6,99,573,23,3,547,86,14,0,1884,435,8,0,82.16,1,53.69
USR00173,Maria Brown,Operations,Analyst,2025-12-31,103,3,5,136,134,7,18,109,104,22,11,410,141,10,5,74.54,1,68.28
USR00174,Maria Martinez,Operations,Associate,2025-12-30,88,7,5,44,1024,9,23,992,19,3,4,498,30,15,0,51.37,1,58.79
USR00175,Jennifer Williams,Legal,Senior Developer,2025-12-29,45,1,3,28,1097,93,18,986,100,25,18,256,106,9,5,20.75,1,71.99
USR00176,Lisa Garcia,Operations,Lead,2025-12-28,217,11,4,150,379,24,39,316,192,37,8,413,393,0,6,95.79,1,78.61
USR00177,Michael Martinez,Legal,Associate,2025-12-27,96,1,8,36,698,95,19,584,65,11,10,393,345,2,5,47.78,-1,73.67
USR00178,Sarah Garcia,HR,Analyst,2025-12-26,224,0,1,98,917,107,42,768,110,31,24,769,299,12,1,94.77,1,64.47
USR00179,Emily Williams,IT,Analyst,2025-12-25,244,1,5,5,672,33,26,613,23,5,1,1868,212,5,1,77.46,-1,41.31
USR00180,Maria Martinez,IT,Senior Developer,2026-01-23,150,10,3,111,341,3,12,326,89,13,6,888,376,8,4,30.66,1,77.28
USR00181,Robert Davis,Operations,Senior Developer,2026-01-22,132,0,7,22,623,84,80,459,158,61,12,248,26,6,2,87.06,1,52.28
USR00182,Sarah Jones,Sales,Officer,2026-01-21,165,10,5,23,1134,99,47,988,99,24,11,432,248,1,4,47.2,1,66.79
USR00183,Maria Smith,Operations,Analyst,2026-01-20,61,2,7,150,485,70,7,408,104,33,26,1146,371,15,3,43.48,1,87.35
USR00184,John Rodriguez,Executive,Lead,2026-01-19,244,18,3,30,939,44,42,853,59,6,4,137,74,2,6,48.93,-1,89.64
USR00185,Maria Jones,Legal,Analyst,2026-01-18,62,3,7,141,687,35,133,519,122,0,33,1650,234,3,6,36.05,1,62.83
USR00186,Sarah Johnson,Executive,Analyst,2026-01-17,241,9,6,105,560,49,83,428,129,36,38,1018,39,5,4,56.86,1,70.85
USR00187,James Smith,Sales,Director,2026-01-16,216,7,1,121,570,47,2,521,91,19,9,624,451,15,1,85.92,1,81.22
USR00188,Lisa Garcia,HR,Consultant,2026-01-15,194,2,4,113,452,52,62,338,199,66,55,815,440,1,8,66.66,1,77.19
USR00189,James Williams,Security,Associate,2026-01-14,47,1,4,51,138,7,1,130,121,3,23,1493,121,8,5,84.44,1,38.82
USR00190,Sarah Smith,Marketing,Director,2026-01-13,165,9,8,45,991,141,89,761,93,10,26,1881,152,2,4,8.8,1,68.77
USR00191,Emily Brown,Marketing,Coordinator,2026-01-12,108,6,1,2,990,33,165,792,49,19,12,67,34,8,4,83.28,1,64.77
USR00192,James Garcia,IT,Specialist,2026-01-11,95,7,5,133,833,74,26,733,6,2,1,1199,351,9,4,73.19,1,68.73
USR00193,David Garcia,HR,Specialist,2026-01-10,207,9,4,38,1079,61,14,1004,158,51,42,704,368,4,0,89.07,1,58.66
USR00194,James Miller,Sales,Senior Developer,2026-01-09,189,6,6,56,1114,163,200,751,126,42,22,1088,173,5,8,22.0,-1,100
USR00195,David Rodriguez,Operations,Director,2026-01-08,207,2,4,90,477,39,53,385,89,23,8,1249,170,14,1,70.61,1,63.61
USR00196,Maria Johnson,IT,Coordinator,2026-01-07,168,1,7,135,631,52,6,573,43,4,3,751,229,14,2,53.78,1,67.8
USR00197,Lisa Garcia,Operations,Director,2026-01-06,202,1,1,115,580,26,97,457,48,18,12,374,270,2,2,73.26,1,53.96
USR00198,Lisa Miller,Engineering,Senior Developer,2026-01-05,176,3,6,3,679,96,135,448,53,0,0,1333,395,7,3,69.07,-1,67.21
USR00199,James Rodriguez,Executive,Specialist,2026-01-04,82,0,1,76,615,58,93,464,138,38,33,741,242,4,5,96.87,1,54.09
USR00200,Michael Miller,Engineering,Coordinator,2026-01-03,97,2,4,5,1053,43,31,979,98,2,12,1845,347,8,8,72.52,-1,65.44
